Year,Equal weighted,EW t stat,Issuance weighted,IW t stat
2003,-0.006086731335877319,-0.2949123650044865,-0.009460614529575731,-0.43260194670725033
2004,-0.004752628175253321,-0.33104964555104033,-0.005822118933616991,-0.38874245344318964
2005,-0.003059724718683588,-0.24917986170839138,-0.003177455958524921,-0.32219541901498416
2006,-0.0011917201396862355,-0.146704343006778,-0.0007983885305846177,-0.09134989952561426
2007,0.0035472259288892322,0.3611475636326402,0.0007790402124278947,0.08455672777623485
2008,-0.06981914210882818,-1.338890062662955,-0.06108870143756993,-1.6081619766830895
2009,-0.08994499478534242,-1.818492381490405,-0.05078408108524839,-1.6577870859932078
Full,-0.021059806728923408,-2.047658461039797,-0.016469857276101302,-2.0871389804186933
