,2003,2004,2005,2006,2007,2008,2009
cusip_count,781.0,896.0,861.0,723.0,611.0,513.0,426.0
issuance_avg,992.2449677060249,981.8859593811711,990.0487522565588,983.1842663313554,1001.4620319358736,1031.9905886744536,1070.5822420831428
issuance_median,749.46,749.355,771.82929,797.36,797.896,847.9685,990.48
issuance_std,735.0514774429759,712.1809613284732,696.051084454269,658.993068598942,675.6935189831896,705.1128158553269,725.9224164981358
n_mr_avg,5.865774971615298,5.672185789714781,5.604929760090069,5.292138149714002,5.209142093711232,5.592997058986738,6.323898951636568
n_mr_median,6.0,5.0,5.0,5.0,5.0,6.0,6.0
n_mr_std,2.329900239084051,2.3531690336622417,2.3926946027476266,2.235072902043503,2.302671795203868,2.3853237495792845,2.1507206688038933
tmt_avg,7.077926147445719,6.525675154888474,5.882271923277754,5.388081247261872,5.266794257950897,4.930889084655969,4.964327220206906
tmt_median,4.991666666666666,4.655555555555556,4.186111111111111,3.813888888888889,3.716666666666667,3.425,3.216666666666667
tmt_std,6.723451161847779,6.553795972998168,6.213771618999684,5.96369455205842,6.064601994548421,5.984971318255481,6.231500286868526
coupon_y_avg,6.139167631836115,5.85317718468005,5.648531846546938,5.484761832189041,5.481806998741904,5.614272644396692,5.765901463389095
coupon_y_median,6.35,6.0,5.7,5.5,5.45,5.625,5.7
coupon_y_std,1.3988642533168774,1.4697348047670489,1.4500811888519258,1.412076014153709,1.4044657291682776,1.3709828476357988,1.3378745676012176
age_avg,2.9528517782338097,3.2514249659658234,3.7319724674462753,4.362543243050553,5.1897404466719825,6.159635856865356,6.831200199962202
age_median,2.1616438356164385,2.558904109589041,3.1726027397260275,3.9287671232876713,4.66027397260274,5.663013698630137,6.493150684931507
age_std,2.605092879388651,2.6432847205436816,2.5798420319288233,2.3216828502053883,2.3435594953489978,2.385700839057035,2.2809130258653862
turnover_avg,21.89605602484898,17.56860487281147,13.128843760946845,8.287736678532942,7.229816959637503,7.303884883207615,7.955324522931905
turnover_median,11.504297277557106,9.747427947742198,7.719544611063744,6.164317455210826,5.004826948066047,4.8074722450864265,5.657473598836372
turnover_std,49.24677686462577,38.949593757848106,27.047170273369957,9.281887745163393,8.350429345480004,8.946685575857135,7.872449899108852
trade_size_avg,787.9250980131832,723.9180672559314,512.343071257995,391.21156168940223,355.44481523103167,239.3776907520837,162.14655755103337
trade_size_median,426.17939965950404,370.2420197827056,289.8591889984932,244.47796459996502,203.8698487184714,129.78287441087275,87.17588906408758
trade_size_std,2219.624941286461,5607.055167095382,1196.9053079154542,441.51776324346815,466.74110708421244,329.4745619579429,244.94935825984763
#trade_avg,365.68665441790546,312.9269983230855,329.1560037088549,257.3836495933799,255.13504331578054,412.01825187588724,740.7096134786917
#trade_median,233.0,205.0,195.0,183.0,175.0,252.0,408.5
#trade_std,535.5215084644253,343.76520121371726,534.4776346601379,231.48975704131337,259.24113346539383,553.6228683833646,978.7932711465648
Avg_return_avg,0.02697436271011268,-0.09113017052930918,-0.3431892049805099,0.005656957958880819,-0.03435573252197576,-0.9548844597805406,0.5240946657851202
Avg_return_median,-0.1235603217895826,-0.12314582567552838,-0.27051643208078036,-0.07845505392412133,0.026978749881732322,-0.06578204706868074,0.23495912158429597
Avg_return_std,0.5546472584706202,0.3940427282549357,0.7948903420557913,1.5945980144279062,0.7853821949319907,13.94321556486302,2.0742847671478937
volatility_avg,2.2920541993673798,1.694952258990728,1.266884642140541,0.8491898845743119,0.9999070074680751,4.101752587615317,4.149841101590962
volatility_median,2.110674569725275,1.3492689190024039,1.007072317973153,0.619853892860883,0.7830599692402195,2.623656184603614,2.0677235806024385
volatility_std,1.4741067745528074,5.73119092793616,1.3352958645355046,1.3102546265560981,1.1303425015200312,4.720392317945505,5.135316753136819
prclean_avg,106.98647347113494,105.09636525009574,102.58550122625356,100.13777874013705,100.37637891649679,98.4280917083113,97.2958471170269
prclean_median,107.2036451755501,104.7572156242524,101.65009931851012,99.96210004767269,99.88832835796694,100.25117892999967,100.78079915647872
prclean_std,7.933888323809704,7.535580693955595,7.58897647320518,6.933368105620476,6.423395330189668,9.35849892266128,12.822369454561617
